PLAYER,ROUND,COURSE,HOLE_1,HOLE_2,HOLE_3,HOLE_4,HOLE_5,HOLE_6,HOLE_7,HOLE_8,HOLE_9,OUT,HOLE_10,HOLE_11,HOLE_12,HOLE_13,HOLE_14,HOLE_15,HOLE_16,HOLE_17,HOLE_18,IN,TOTAL,POS
Pennson Badgett,1,Ocean,4,3,4,5,3,3,4,3,4,33,3,5,4,4,4,5,5,3,5,38,71.0,
Pennson Badgett,2,Lake,4,5,4,4,3,6,3,4,5,38,4,4,5,3,4,3,4,4,3,34,72.0,
Jacob Modleski,1,Ocean,4,3,3,4,3,3,5,5,3,33,4,5,4,4,5,5,4,3,4,38,71.0,
Jacob Modleski,2,Lake,4,4,3,4,4,4,3,4,5,35,5,4,4,4,4,3,5,4,4,37,72.0,
Paul Chang,1,Lake,5,5,3,4,5,4,4,4,4,38,5,5,5,3,3,3,5,5,5,39,77.0,
Paul Chang,2,Ocean,5,3,3,4,3,4,4,3,3,32,3,5,4,4,4,4,3,3,4,34,66.0,
Bowen Mauss,1,Lake,5,5,4,4,5,4,5,3,4,39,4,4,5,4,4,3,4,5,4,37,76.0,
Bowen Mauss,2,Ocean,4,3,4,5,4,5,4,3,3,35,2,5,3,4,3,4,4,3,4,32,67.0,
Ryan Downes,1,Lake,5,4,2,5,5,4,4,3,3,35,4,4,4,3,3,3,4,4,4,33,68.0,
Ryan Downes,2,Ocean,4,3,4,5,3,5,4,4,4,36,3,5,4,5,4,4,4,4,6,39,75.0,
Tim Wiedemeyer,1,Lake,4,4,4,5,5,5,4,3,3,37,4,4,4,2,4,2,5,4,4,33,70.0,
Tim Wiedemeyer,2,Ocean,5,4,5,5,3,4,4,3,4,37,3,5,5,5,4,3,4,3,4,36,73.0,
Brady Siravo,1,Ocean,5,4,4,5,3,4,3,3,4,35,3,4,5,4,3,4,5,3,5,36,71.0,
Brady Siravo,2,Lake,5,4,5,3,4,4,4,3,4,36,5,4,4,3,4,2,6,4,4,36,72.0,
Niall Shiels Donegan,1,Lake,4,4,3,4,5,5,5,4,4,38,4,3,4,3,4,3,5,5,4,35,73.0,
Niall Shiels Donegan,2,Ocean,5,3,4,5,3,4,4,4,3,35,3,5,3,5,4,4,3,4,4,35,70.0,
Jimmy Abdo,1,Lake,5,4,4,4,4,5,2,3,4,35,5,4,4,3,3,3,5,6,4,37,72.0,
Jimmy Abdo,2,Ocean,5,4,4,4,2,4,4,4,3,34,5,5,5,5,3,4,3,3,4,37,71.0,
Travis Woolf,1,Ocean,5,4,3,4,4,5,4,3,4,36,2,5,4,3,4,4,4,3,5,34,70.0,
Travis Woolf,2,Lake,4,4,4,5,4,5,4,3,3,36,5,3,4,3,4,3,7,4,4,37,73.0,
Jack Bigham,1,Ocean,4,4,4,4,3,5,4,3,3,34,3,6,4,3,4,4,4,3,4,35,69.0,
